Number,Question,Answer,Keyword,Ratings
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth and Mars","Mercury, Venus, Earth, Mars",10
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, and Mars","Mercury, Venus, Earth, Mars",8
4,Name first four planets in the solar system,"First four planets in our solar system are Mercury, Venus, Earth ","Mercury, Venus, Earth, Mars",8
